country,harvest_group,crop_year,crop_year_beg,crop_year_end,consumption_1k_bags,consumption_kg,consumption_lb
Congo,July,1996/97,1996,1997,3.0,180000.0,396832.071933
Cuba,July,1996/97,1996,1997,189.0,11340000.0,25000420.531779
Dominican Republic,July,1996/97,1996,1997,325.0,19500000.0,42990141.126075
Haiti,July,1996/97,1996,1997,330.0,19800000.0,43651527.91263
Philippines,July,1996/97,1996,1997,831.0,49860000.0,109922483.925441
Tanzania,July,1996/97,1996,1997,16.6,996000.0,2195804.1313626003
Zambia,July,1996/97,1996,1997,1.0,60000.0,132277.357311
Cameroon,October,1996/97,1996,1997,100.0,6000000.0,13227735.7311
Central African Republic,October,1996/97,1996,1997,10.0,600000.0,1322773.57311
Colombia,October,1996/97,1996,1997,1343.0,80580000.0,177648490.868673
Costa Rica,October,1996/97,1996,1997,375.0,22500000.0,49604008.991625
Côte d'Ivoire,October,1996/97,1996,1997,50.0,3000000.0,6613867.86555
Democratic Republic of Congo,October,1996/97,1996,1997,200.0,12000000.0,26455471.4622
El Salvador,October,1996/97,1996,1997,230.0,13800000.0,30423792.18153
Equatorial Guinea,October,1996/97,1996,1997,0.0,0.0,0.0
Ethiopia,October,1996/97,1996,1997,1637.0,98220000.0,216538033.918107
Gabon,October,1996/97,1996,1997,0.833,49980.0,110187.038640063
Ghana,October,1996/97,1996,1997,3.0,180000.0,396832.071933
Guatemala,October,1996/97,1996,1997,300.0,18000000.0,39683207.1933
Guinea,October,1996/97,1996,1997,50.0,3000000.0,6613867.86555
Guyana,October,1996/97,1996,1997,0.0,0.0,0.0
Honduras,October,1996/97,1996,1997,167.924,10075440.0,22212542.949092366
India,October,1996/97,1996,1997,838.0,50280000.0,110848425.426618
Jamaica,October,1996/97,1996,1997,18.0,1080000.0,2380992.431598
Kenya,October,1996/97,1996,1997,50.0,3000000.0,6613867.86555
Lao People's Democratic Republic,October,1996/97,1996,1997,0.0,0.0,0.0
Liberia,October,1996/97,1996,1997,5.0,300000.0,661386.786555
Mexico,October,1996/97,1996,1997,1235.0,74100000.0,163362536.279085
Nepal,October,1996/97,1996,1997,0.0,0.0,0.0
Nicaragua,October,1996/97,1996,1997,95.37,5722200.0,12615291.56675007
Nigeria,October,1996/97,1996,1997,40.0,2400000.0,5291094.29244
